n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 20 21 6 5 0 
n {-2,0},{-1,-1} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 22 45 46 
i 2 0 8 23 24 
i 14 4 0 7 8 
i 33 15 3 0 1 
i 34 16 4 5 0 
i 0 2 14 33 34 
i 6 0 4 15 16 
i 22 8 0 3 4 
i 45 23 7 0 5 
i 46 24 8 1 0 
i 0 8 22 45 44 
i 4 0 6 21 20 
i 14 2 0 7 6 
i 33 13 3 0 5 
i 32 12 2 1 0 
i 0 4 14 33 32 
i 8 0 2 13 12 
i 22 6 0 3 2 
i 45 21 7 0 1 
i 44 20 6 5 0 
n {-2,-1},{-1,-1} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 23 46 47 
i 3 0 8 23 24 
i 15 4 0 7 8 
i 34 15 3 0 1 
i 35 16 4 5 0 
i 0 3 15 34 35 
i 7 0 4 15 16 
i 23 8 0 3 4 
i 46 23 7 0 5 
i 47 24 8 1 0 
i 0 7 21 44 43 
i 3 0 6 21 20 
i 13 2 0 7 6 
i 32 13 3 0 5 
i 31 12 2 1 0 
i 0 3 13 32 31 
i 7 0 2 13 12 
i 21 6 0 3 2 
i 44 21 7 0 1 
i 43 20 6 5 0 
n {-2,-2},{-1,-1} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 8 24 47 48 
i 4 0 8 23 24 
i 16 4 0 7 8 
i 35 15 3 0 1 
i 36 16 4 5 0 
i 0 4 16 35 36 
i 8 0 4 15 16 
i 24 8 0 3 4 
i 47 23 7 0 5 
i 48 24 8 1 0 
i 0 6 20 43 42 
i 2 0 6 21 20 
i 12 2 0 7 6 
i 31 13 3 0 5 
i 30 12 2 1 0 
i 0 2 12 31 30 
i 6 0 2 13 12 
i 20 6 0 3 2 
i 43 21 7 0 1 
i 42 20 6 5 0 
n {-1,-2},{-1,-1} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 9 24 25 
i 5 0 8 23 24 
i 17 4 0 7 8 
i 16 15 3 0 1 
i 37 16 4 5 0 
i 0 5 17 16 37 
i 1 0 4 15 16 
i 9 8 0 3 4 
i 24 23 7 0 5 
i 25 24 8 1 0 
i 0 5 19 20 41 
i 1 0 6 21 20 
i 11 2 0 7 6 
i 12 13 3 0 5 
i 29 12 2 1 0 
i 0 1 11 12 29 
i 5 0 2 13 12 
i 19 6 0 3 2 
i 20 21 7 0 1 
i 41 20 6 5 0 
n {-1,-1},{0,-2} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 8 23 24 
i 2 0 10 9 26 
i 4 18 0 7 8 
i 15 17 3 0 1 
i 16 38 4 5 0 
i 0 2 4 15 16 
i 6 0 18 17 38 
i 8 10 0 3 4 
i 23 9 7 0 5 
i 24 26 8 1 0 
i 0 8 6 21 20 
i 4 0 18 19 40 
i 2 10 0 7 6 
i 13 11 3 0 5 
i 12 28 2 1 0 
i 0 4 2 13 12 
i 8 0 10 11 28 
i 6 18 0 3 2 
i 21 19 7 0 1 
i 20 40 6 5 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 1 8 9 24 
i 5 0 7 8 23 
i 4 3 0 1 8 
i 17 4 5 0 7 
i 16 15 4 3 0 
i 0 5 4 17 16 
i 1 0 3 4 15 
i 8 7 0 5 4 
i 9 8 1 0 3 
i 24 23 8 7 0 
i 0 5 6 19 20 
i 1 0 7 6 21 
i 2 3 0 5 6 
i 11 2 1 0 7 
i 12 13 2 3 0 
i 0 1 2 11 12 
i 5 0 3 2 13 
i 6 7 0 1 2 
i 19 6 5 0 3 
i 20 21 6 7 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 1 8 9 25 
i 5 0 7 8 24 
i 4 3 0 1 9 
i 17 4 5 0 8 
i 37 16 17 4 0 
i 0 5 4 17 37 
i 1 0 3 4 16 
i 8 7 0 5 17 
i 9 8 1 0 4 
i 25 24 9 8 0 
i 0 5 6 19 41 
i 1 0 7 6 20 
i 2 3 0 5 19 
i 11 2 1 0 6 
i 29 12 11 2 0 
i 0 1 2 11 29 
i 5 0 3 2 12 
i 6 7 0 1 11 
i 19 6 5 0 2 
i 41 20 19 6 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 1 8 9 26 
i 5 0 7 8 9 
i 4 3 0 1 10 
i 17 4 5 0 1 
i 38 17 18 5 0 
i 0 5 4 17 38 
i 1 0 3 4 17 
i 8 7 0 5 18 
i 9 8 1 0 5 
i 26 9 10 1 0 
i 0 5 6 19 40 
i 1 0 7 6 19 
i 2 3 0 5 18 
i 11 2 1 0 5 
i 28 11 10 1 0 
i 0 1 2 11 28 
i 5 0 3 2 11 
i 6 7 0 1 10 
i 19 6 5 0 1 
i 40 19 18 5 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 1 8 9 27 
i 5 0 7 8 10 
i 4 3 0 1 11 
i 17 4 5 0 2 
i 39 18 19 6 0 
i 0 5 4 17 39 
i 1 0 3 4 18 
i 8 7 0 5 19 
i 9 8 1 0 6 
i 27 10 11 2 0 
i 0 5 6 19 39 
i 1 0 7 6 18 
i 2 3 0 5 17 
i 11 2 1 0 4 
i 27 10 9 8 0 
i 0 1 2 11 27 
i 5 0 3 2 10 
i 6 7 0 1 9 
i 19 6 5 0 8 
i 39 18 17 4 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} 
i 0 1 8 9 10 
i 5 0 7 8 1 
i 4 3 0 1 2 
i 17 4 5 0 3 
i 18 5 6 7 0 
i 0 5 4 17 18 
i 1 0 3 4 5 
i 8 7 0 5 6 
i 9 8 1 0 7 
i 10 1 2 3 0 
i 0 5 6 19 18 
i 1 0 7 6 5 
i 2 3 0 5 4 
i 11 2 1 0 3 
i 10 1 8 7 0 
i 0 1 2 11 10 
i 5 0 3 2 1 
i 6 7 0 1 8 
i 19 6 5 0 7 
i 18 5 4 3 0 
n {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 1 8 9 23 
i 5 0 7 8 22 
i 4 3 0 1 7 
i 17 4 5 0 6 
i 15 14 3 2 0 
i 0 5 4 17 15 
i 1 0 3 4 14 
i 8 7 0 5 3 
i 9 8 1 0 2 
i 23 22 7 6 0 
i 0 5 6 19 21 
i 1 0 7 6 22 
i 2 3 0 5 7 
i 11 2 1 0 8 
i 13 14 3 4 0 
i 0 1 2 11 13 
i 5 0 3 2 14 
i 6 7 0 1 3 
i 19 6 5 0 4 
i 21 22 7 8 0 
n {0,-1},{0,0} {0,-1},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 7 8 9 
i 5 0 6 7 8 
i 3 2 0 1 10 
i 4 3 5 0 1 
i 17 4 18 5 0 
i 0 5 3 4 17 
i 1 0 2 3 4 
i 7 6 0 5 18 
i 8 7 1 0 5 
i 9 8 10 1 0 
i 0 5 7 6 19 
i 1 0 8 7 6 
i 3 4 0 5 18 
i 2 3 1 0 5 
i 11 2 10 1 0 
i 0 1 3 2 11 
i 5 0 4 3 2 
i 7 8 0 1 10 
i 6 7 5 0 1 
i 19 6 18 5 0 
n {-1,0},{0,-1} {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 7 22 23 
i 2 0 1 8 9 
i 3 5 0 7 8 
i 14 4 3 0 1 
i 15 17 4 5 0 
i 0 2 3 14 15 
i 6 0 5 4 17 
i 7 1 0 3 4 
i 22 8 7 0 5 
i 23 9 8 1 0 
i 0 8 7 22 21 
i 4 0 5 6 19 
i 3 1 0 7 6 
i 14 2 3 0 5 
i 13 11 2 1 0 
i 0 4 3 14 13 
i 8 0 1 2 11 
i 7 5 0 3 2 
i 22 6 7 0 1 
i 21 19 6 5 0 
n {-1,-1},{0,-1} {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 8 23 24 
i 3 0 1 8 9 
i 4 5 0 7 8 
i 15 4 3 0 1 
i 16 17 4 5 0 
i 0 3 4 15 16 
i 7 0 5 4 17 
i 8 1 0 3 4 
i 23 8 7 0 5 
i 24 9 8 1 0 
i 0 7 6 21 20 
i 3 0 5 6 19 
i 2 1 0 7 6 
i 13 2 3 0 5 
i 12 11 2 1 0 
i 0 3 2 13 12 
i 7 0 1 2 11 
i 6 5 0 3 2 
i 21 6 7 0 1 
i 20 19 6 5 0 
n {-1,-2},{0,-1} {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 8 9 24 25 
i 4 0 1 8 9 
i 17 5 0 7 8 
i 16 4 3 0 1 
i 37 17 4 5 0 
i 0 4 17 16 37 
i 8 0 5 4 17 
i 9 1 0 3 4 
i 24 8 7 0 5 
i 25 9 8 1 0 
i 0 6 19 20 41 
i 2 0 5 6 19 
i 11 1 0 7 6 
i 12 2 3 0 5 
i 29 11 2 1 0 
i 0 2 11 12 29 
i 6 0 1 2 11 
i 19 5 0 3 2 
i 20 6 7 0 1 
i 41 19 6 5 0 
n {0,-2},{0,-1} {0,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 10 9 26 
i 5 0 1 8 9 
i 18 5 0 7 8 
i 17 4 3 0 1 
i 38 17 4 5 0 
i 0 5 18 17 38 
i 1 0 5 4 17 
i 10 1 0 3 4 
i 9 8 7 0 5 
i 26 9 8 1 0 
i 0 5 18 19 40 
i 1 0 5 6 19 
i 10 1 0 7 6 
i 11 2 3 0 5 
i 28 11 2 1 0 
i 0 1 10 11 28 
i 5 0 1 2 11 
i 18 5 0 3 2 
i 19 6 7 0 1 
i 40 19 6 5 0 
n {0,-1},{0,0} {0,-1},{1,-2} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 6 8 9 
i 5 0 19 7 8 
i 2 11 0 10 27 
i 4 3 18 0 1 
i 17 4 39 5 0 
i 0 5 2 4 17 
i 1 0 11 3 4 
i 6 19 0 18 39 
i 8 7 10 0 5 
i 9 8 27 1 0 
i 0 5 8 6 19 
i 1 0 9 7 6 
i 4 17 0 18 39 
i 2 3 10 0 5 
i 11 2 27 1 0 
i 0 1 4 2 11 
i 5 0 17 3 2 
i 8 9 0 10 27 
i 6 7 18 0 1 
i 19 6 39 5 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 6 7 8 23 
i 2 0 1 10 9 
i 3 5 0 1 8 
i 4 18 5 0 7 
i 15 17 4 3 0 
i 0 2 3 4 15 
i 6 0 5 18 17 
i 7 1 0 5 4 
i 8 10 1 0 3 
i 23 9 8 7 0 
i 0 8 7 6 21 
i 4 0 5 18 19 
i 3 1 0 5 6 
i 2 10 1 0 7 
i 13 11 2 3 0 
i 0 4 3 2 13 
i 8 0 1 10 11 
i 7 5 0 1 2 
i 6 18 5 0 3 
i 21 19 6 7 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 6 7 8 24 
i 2 0 1 10 26 
i 3 5 0 1 9 
i 4 18 5 0 8 
i 16 38 17 4 0 
i 0 2 3 4 16 
i 6 0 5 18 38 
i 7 1 0 5 17 
i 8 10 1 0 4 
i 24 26 9 8 0 
i 0 8 7 6 20 
i 4 0 5 18 40 
i 3 1 0 5 19 
i 2 10 1 0 6 
i 12 28 11 2 0 
i 0 4 3 2 12 
i 8 0 1 10 28 
i 7 5 0 1 11 
i 6 18 5 0 2 
i 20 40 19 6 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 6 7 8 9 
i 2 0 1 10 27 
i 3 5 0 1 10 
i 4 18 5 0 1 
i 17 39 18 5 0 
i 0 2 3 4 17 
i 6 0 5 18 39 
i 7 1 0 5 18 
i 8 10 1 0 5 
i 9 27 10 1 0 
i 0 8 7 6 19 
i 4 0 5 18 39 
i 3 1 0 5 18 
i 2 10 1 0 5 
i 11 27 10 1 0 
i 0 4 3 2 11 
i 8 0 1 10 27 
i 7 5 0 1 10 
i 6 18 5 0 1 
i 19 39 18 5 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 6 7 8 10 
i 2 0 1 10 28 
i 3 5 0 1 11 
i 4 18 5 0 2 
i 18 40 19 6 0 
i 0 2 3 4 18 
i 6 0 5 18 40 
i 7 1 0 5 19 
i 8 10 1 0 6 
i 10 28 11 2 0 
i 0 8 7 6 18 
i 4 0 5 18 38 
i 3 1 0 5 17 
i 2 10 1 0 4 
i 10 26 9 8 0 
i 0 4 3 2 10 
i 8 0 1 10 26 
i 7 5 0 1 9 
i 6 18 5 0 8 
i 18 38 17 4 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} 
i 0 6 7 8 1 
i 2 0 1 10 11 
i 3 5 0 1 2 
i 4 18 5 0 3 
i 5 19 6 7 0 
i 0 2 3 4 5 
i 6 0 5 18 19 
i 7 1 0 5 6 
i 8 10 1 0 7 
i 1 11 2 3 0 
i 0 8 7 6 5 
i 4 0 5 18 17 
i 3 1 0 5 4 
i 2 10 1 0 3 
i 1 9 8 7 0 
i 0 4 3 2 1 
i 8 0 1 10 9 
i 7 5 0 1 8 
i 6 18 5 0 7 
i 5 17 4 3 0 
n {0,0},{1,-1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 6 7 8 22 
i 2 0 1 10 8 
i 3 5 0 1 7 
i 4 18 5 0 6 
i 14 4 3 2 0 
i 0 2 3 4 14 
i 6 0 5 18 4 
i 7 1 0 5 3 
i 8 10 1 0 2 
i 22 8 7 6 0 
i 0 8 7 6 22 
i 4 0 5 18 6 
i 3 1 0 5 7 
i 2 10 1 0 8 
i 14 2 3 4 0 
i 0 4 3 2 14 
i 8 0 1 10 2 
i 7 5 0 1 3 
i 6 18 5 0 4 
i 22 6 7 8 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {1,1},{2,2} 
i 0 7 8 23 24 
i 3 0 1 8 9 
i 4 5 0 7 8 
i 15 4 3 0 1 
i 16 17 4 5 0 
i 0 3 4 15 16 
i 7 0 5 4 17 
i 8 1 0 3 4 
i 23 8 7 0 5 
i 24 9 8 1 0 
i 0 7 6 21 20 
i 3 0 5 6 19 
i 2 1 0 7 6 
i 13 2 3 0 5 
i 12 11 2 1 0 
i 0 3 2 13 12 
i 7 0 1 2 11 
i 6 5 0 3 2 
i 21 6 7 0 1 
i 20 19 6 5 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,1},{2,1} 
i 0 7 8 9 23 
i 3 0 1 10 8 
i 4 5 0 1 7 
i 17 18 5 0 6 
i 15 4 3 2 0 
i 0 3 4 17 15 
i 7 0 5 18 4 
i 8 1 0 5 3 
i 9 10 1 0 2 
i 23 8 7 6 0 
i 0 7 6 19 21 
i 3 0 5 18 6 
i 2 1 0 5 7 
i 11 10 1 0 8 
i 13 2 3 4 0 
i 0 3 2 11 13 
i 7 0 1 10 2 
i 6 5 0 1 3 
i 19 18 5 0 4 
i 21 6 7 8 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} {1,1},{2,1} 
i 0 7 8 10 23 
i 3 0 1 11 8 
i 4 5 0 2 7 
i 18 19 6 0 21 
i 15 4 3 13 0 
i 0 3 4 18 15 
i 7 0 5 19 4 
i 8 1 0 6 3 
i 10 11 2 0 13 
i 23 8 7 21 0 
i 0 7 6 18 21 
i 3 0 5 17 6 
i 2 1 0 4 7 
i 10 9 8 0 23 
i 13 2 3 15 0 
i 0 3 2 10 13 
i 7 0 1 9 2 
i 6 5 0 8 3 
i 18 17 4 0 15 
i 21 6 7 23 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} {1,1},{2,1} 
i 0 7 8 1 23 
i 3 0 1 2 8 
i 4 5 0 3 7 
i 5 6 7 0 22 
i 15 4 3 14 0 
i 0 3 4 5 15 
i 7 0 5 6 4 
i 8 1 0 7 3 
i 1 2 3 0 14 
i 23 8 7 22 0 
i 0 7 6 5 21 
i 3 0 5 4 6 
i 2 1 0 3 7 
i 1 8 7 0 22 
i 13 2 3 14 0 
i 0 3 2 1 13 
i 7 0 1 8 2 
i 6 5 0 7 3 
i 5 4 3 0 14 
i 21 6 7 22 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} {1,1},{2,1} 
i 0 7 8 22 23 
i 3 0 1 7 8 
i 4 5 0 6 7 
i 14 3 2 0 1 
i 15 4 3 5 0 
i 0 3 4 14 15 
i 7 0 5 3 4 
i 8 1 0 2 3 
i 22 7 6 0 5 
i 23 8 7 1 0 
i 0 7 6 22 21 
i 3 0 5 7 6 
i 2 1 0 8 7 
i 14 3 4 0 5 
i 13 2 3 1 0 
i 0 3 2 14 13 
i 7 0 1 3 2 
i 6 5 0 4 3 
i 22 7 8 0 1 
i 21 6 7 5 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,1},{2,2} 
i 0 7 8 9 24 
i 3 0 1 10 9 
i 4 5 0 1 8 
i 17 18 5 0 7 
i 16 17 4 3 0 
i 0 3 4 17 16 
i 7 0 5 18 17 
i 8 1 0 5 4 
i 9 10 1 0 3 
i 24 9 8 7 0 
i 0 7 6 19 20 
i 3 0 5 18 19 
i 2 1 0 5 6 
i 11 10 1 0 7 
i 12 11 2 3 0 
i 0 3 2 11 12 
i 7 0 1 10 11 
i 6 5 0 1 2 
i 19 18 5 0 3 
i 20 19 6 7 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} {1,1},{2,2} 
i 0 7 8 10 24 
i 3 0 1 11 9 
i 4 5 0 2 8 
i 18 19 6 0 22 
i 16 17 4 14 0 
i 0 3 4 18 16 
i 7 0 5 19 17 
i 8 1 0 6 4 
i 10 11 2 0 14 
i 24 9 8 22 0 
i 0 7 6 18 20 
i 3 0 5 17 19 
i 2 1 0 4 6 
i 10 9 8 0 22 
i 12 11 2 14 0 
i 0 3 2 10 12 
i 7 0 1 9 11 
i 6 5 0 8 2 
i 18 17 4 0 14 
i 20 19 6 22 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} {1,1},{2,2} 
i 0 7 8 1 24 
i 3 0 1 2 9 
i 4 5 0 3 8 
i 5 6 7 0 23 
i 16 17 4 15 0 
i 0 3 4 5 16 
i 7 0 5 6 17 
i 8 1 0 7 4 
i 1 2 3 0 15 
i 24 9 8 23 0 
i 0 7 6 5 20 
i 3 0 5 4 19 
i 2 1 0 3 6 
i 1 8 7 0 21 
i 12 11 2 13 0 
i 0 3 2 1 12 
i 7 0 1 8 11 
i 6 5 0 7 2 
i 5 4 3 0 13 
i 20 19 6 21 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} {1,1},{2,2} 
i 0 7 8 22 24 
i 3 0 1 7 9 
i 4 5 0 6 8 
i 14 3 2 0 10 
i 16 17 4 18 0 
i 0 3 4 14 16 
i 7 0 5 3 17 
i 8 1 0 2 4 
i 22 7 6 0 18 
i 24 9 8 10 0 
i 0 7 6 22 20 
i 3 0 5 7 19 
i 2 1 0 8 6 
i 14 3 4 0 18 
i 12 11 2 10 0 
i 0 3 2 14 12 
i 7 0 1 3 11 
i 6 5 0 4 2 
i 22 7 8 0 10 
i 20 19 6 18 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} {1,1},{1,2} 
i 0 7 8 10 9 
i 3 0 1 11 10 
i 4 5 0 2 1 
i 18 19 6 0 7 
i 17 18 5 3 0 
i 0 3 4 18 17 
i 7 0 5 19 18 
i 8 1 0 6 5 
i 10 11 2 0 3 
i 9 10 1 7 0 
i 0 7 6 18 19 
i 3 0 5 17 18 
i 2 1 0 4 5 
i 10 9 8 0 7 
i 11 10 1 3 0 
i 0 3 2 10 11 
i 7 0 1 9 10 
i 6 5 0 8 1 
i 18 17 4 0 3 
i 19 18 5 7 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} {1,1},{1,2} 
i 0 7 8 1 9 
i 3 0 1 2 10 
i 4 5 0 3 1 
i 5 6 7 0 8 
i 17 18 5 4 0 
i 0 3 4 5 17 
i 7 0 5 6 18 
i 8 1 0 7 5 
i 1 2 3 0 4 
i 9 10 1 8 0 
i 0 7 6 5 19 
i 3 0 5 4 18 
i 2 1 0 3 5 
i 1 8 7 0 6 
i 11 10 1 2 0 
i 0 3 2 1 11 
i 7 0 1 8 10 
i 6 5 0 7 1 
i 5 4 3 0 2 
i 19 18 5 6 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,1},{2,0} 
i 0 7 8 9 22 
i 3 0 1 10 7 
i 4 5 0 1 6 
i 17 18 5 0 19 
i 14 3 2 11 0 
i 0 3 4 17 14 
i 7 0 5 18 3 
i 8 1 0 5 2 
i 9 10 1 0 11 
i 22 7 6 19 0 
i 0 7 6 19 22 
i 3 0 5 18 7 
i 2 1 0 5 8 
i 11 10 1 0 9 
i 14 3 4 17 0 
i 0 3 2 11 14 
i 7 0 1 10 3 
i 6 5 0 1 4 
i 19 18 5 0 17 
i 22 7 8 9 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} {0,2},{1,1} 
i 0 7 8 1 10 
i 3 0 1 2 11 
i 4 5 0 3 2 
i 5 6 7 0 1 
i 18 19 6 5 0 
i 0 3 4 5 18 
i 7 0 5 6 19 
i 8 1 0 7 6 
i 1 2 3 0 5 
i 10 11 2 1 0 
i 0 7 6 5 18 
i 3 0 5 4 17 
i 2 1 0 3 4 
i 1 8 7 0 5 
i 10 9 8 1 0 
i 0 3 2 1 10 
i 7 0 1 8 9 
i 6 5 0 7 8 
i 5 4 3 0 1 
i 18 17 4 5 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} {1,1},{2,0} 
i 0 7 8 10 22 
i 3 0 1 11 7 
i 4 5 0 2 6 
i 18 19 6 0 20 
i 14 3 2 12 0 
i 0 3 4 18 14 
i 7 0 5 19 3 
i 8 1 0 6 2 
i 10 11 2 0 12 
i 22 7 6 20 0 
i 0 7 6 18 22 
i 3 0 5 17 7 
i 2 1 0 4 8 
i 10 9 8 0 24 
i 14 3 4 16 0 
i 0 3 2 10 14 
i 7 0 1 9 3 
i 6 5 0 8 4 
i 18 17 4 0 16 
i 22 7 8 24 0 
n {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} {1,1},{2,0} 
i 0 7 8 1 22 
i 3 0 1 2 7 
i 4 5 0 3 6 
i 5 6 7 0 21 
i 14 3 2 13 0 
i 0 3 4 5 14 
i 7 0 5 6 3 
i 8 1 0 7 2 
i 1 2 3 0 13 
i 22 7 6 21 0 
i 0 7 6 5 22 
i 3 0 5 4 7 
i 2 1 0 3 8 
i 1 8 7 0 23 
i 14 3 4 15 0 
i 0 3 2 1 14 
i 7 0 1 8 3 
i 6 5 0 7 4 
i 5 4 3 0 15 
i 22 7 8 23 0 
n {-1,1},{0,0} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,1},{1,1} 
i 0 6 7 21 22 
i 2 0 1 7 8 
i 3 5 0 6 7 
i 13 3 2 0 1 
i 14 4 3 5 0 
i 0 2 3 13 14 
i 6 0 5 3 4 
i 7 1 0 2 3 
i 21 7 6 0 5 
i 22 8 7 1 0 
i 0 8 7 23 22 
i 4 0 5 7 6 
i 3 1 0 8 7 
i 15 3 4 0 5 
i 14 2 3 1 0 
i 0 4 3 15 14 
i 8 0 1 3 2 
i 7 5 0 4 3 
i 23 7 8 0 1 
i 22 6 7 5 0 
n {-1,1},{0,0} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,1},{1,2} 
i 0 6 7 21 23 
i 2 0 1 7 9 
i 3 5 0 6 8 
i 13 3 2 0 10 
i 15 17 4 18 0 
i 0 2 3 13 15 
i 6 0 5 3 17 
i 7 1 0 2 4 
i 21 7 6 0 18 
i 23 9 8 10 0 
i 0 8 7 23 21 
i 4 0 5 7 19 
i 3 1 0 8 6 
i 15 3 4 0 18 
i 13 11 2 10 0 
i 0 4 3 15 13 
i 8 0 1 3 11 
i 7 5 0 4 2 
i 23 7 8 0 10 
i 21 19 6 18 0 
n {-1,1},{0,0} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,1},{0,2} 
i 0 6 7 21 8 
i 2 0 1 7 10 
i 3 5 0 6 1 
i 13 3 2 0 11 
i 4 18 5 19 0 
i 0 2 3 13 4 
i 6 0 5 3 18 
i 7 1 0 2 5 
i 21 7 6 0 19 
i 8 10 1 11 0 
i 0 8 7 23 6 
i 4 0 5 7 18 
i 3 1 0 8 5 
i 15 3 4 0 17 
i 2 10 1 9 0 
i 0 4 3 15 2 
i 8 0 1 3 10 
i 7 5 0 4 1 
i 23 7 8 0 9 
i 6 18 5 17 0 
n {-1,1},{0,0} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} 
i 0 6 1 7 21 
i 2 0 11 1 7 
i 5 19 0 6 20 
i 3 5 2 0 6 
i 13 3 12 2 0 
i 0 2 5 3 13 
i 6 0 19 5 3 
i 1 11 0 2 12 
i 7 1 6 0 2 
i 21 7 20 6 0 
i 0 8 5 7 23 
i 4 0 17 5 7 
i 1 9 0 8 24 
i 3 1 4 0 8 
i 15 3 16 4 0 
i 0 4 1 3 15 
i 8 0 9 1 3 
i 5 17 0 4 16 
i 7 5 8 0 4 
i 23 7 24 8 0 
n {-1,0},{0,1} {-1,1},{0,0} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} 
i 0 8 1 7 22 
i 4 0 3 5 6 
i 5 7 0 6 21 
i 3 1 2 0 7 
i 14 2 13 3 0 
i 0 4 5 3 14 
i 8 0 7 1 2 
i 1 3 0 2 13 
i 7 5 6 0 3 
i 22 6 21 7 0 
i 0 6 5 7 22 
i 2 0 3 1 8 
i 1 7 0 8 23 
i 3 5 4 0 7 
i 14 4 15 3 0 
i 0 2 1 3 14 
i 6 0 7 5 4 
i 5 3 0 4 15 
i 7 1 8 0 3 
i 22 8 23 7 0 
n {-1,1},{0,0} {-1,1},{0,2} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} 
i 0 6 8 7 21 
i 2 0 10 1 7 
i 4 18 0 5 19 
i 3 5 1 0 6 
i 13 3 11 2 0 
i 0 2 4 3 13 
i 6 0 18 5 3 
i 8 10 0 1 11 
i 7 1 5 0 2 
i 21 7 19 6 0 
i 0 8 6 7 23 
i 4 0 18 5 7 
i 2 10 0 1 9 
i 3 1 5 0 8 
i 15 3 17 4 0 
i 0 4 2 3 15 
i 8 0 10 1 3 
i 6 18 0 5 17 
i 7 5 1 0 4 
i 23 7 9 8 0 
n {-1,1},{-1,2} {-1,1},{0,0} {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} 
i 0 1 6 7 21 
i 5 0 19 6 20 
